message_id,conversation_id,message,message_number
35924,01J0Q8BV98KWR1Q49J1FX25BQ9,,2
35931,01J0RQTJSV0B7QS7X3MFWG92Z9,,1
35932,01J0Q8BV98KWR1Q49J1FX25BQ9,,3
35939,01J0Q8BV98KWR1Q49J1FX25BQ9,,1
35957,01J0Q8BV98KWR1Q49J1FX25BQ9,,4
35960,01J0VHAPMZTBM36NZZF0E4RVKE,Ya me encuentro en Guadalajara por si quieren visitarme saludos cordiales,1
35961,01J0VN6A2K42YV3Q9PBJ7AH9Z9,,1
35962,01J0WAJXFEZNK8E4CN0PHV7PN1,,1
35964,01J0XJ25CTPJ99PY1BCXYEC8F0,,1
35966,01J0XWW2XEH0GACQAV925DKNFV,Buenos dias,1
35967,01J0XWW2XEH0GACQAV925DKNFV,Podrían orientarme si con ustedes puedo comprar de forma directa medicamento?,2
35968,01J0WAJXFEZNK8E4CN0PHV7PN1,,2
35969,01J0Y82XC56H00SRJH1NN68FY5,,1
36126,01J0WAJXFEZNK8E4CN0PHV7PN1,,3
36137,01J108F0V7RHXNJ7172C1GZ0D0,,1
36143,01J0WAJXFEZNK8E4CN0PHV7PN1,,4
36247,01J13F4X5FNGAHZJPH0XHFFDQP,https://www.facebook.com/share/r/jnYy36VfarxXD2ba/?mibextid=0VwfS7,1
36270,01J15NV3NBCC83WJF9P1N9WWS4,,1
36278,01J16KQDPKKZ0B2KFTRFHZNGN0,,1
36279,01J16PB14MDRQ0DAGCDH74GCK1,,1
36280,01J15NV3NBCC83WJF9P1N9WWS4,,2
36287,01J15NV3NBCC83WJF9P1N9WWS4,,3
36288,01J188DMNBFV5V09K7RC5SJ6J2,Hola,1
36289,01J18M2V04RZFTW8Z0MTX9VGJB,"Hola 
Buenas tardes",1
36290,01J18M2V04RZFTW8Z0MTX9VGJB,De casualidad tendrás el contacto del representante que maneja Loventrax,2
36292,01J1904F7MT5064AAP0P1WM1QQ,"Hola Buenas tardes.
Tebdremos el curso anual del Colegio Médico dde Ortopedia de Jalisco. Les gustaría participar en la expo comercial?",1
36293,01J1904F7MT5064AAP0P1WM1QQ,Saludos,2
36294,01J1904F7MT5064AAP0P1WM1QQ,Campus,3
36295,01J1904F7MT5064AAP0P1WM1QQ,Campus sanofi mx,4
36296,01J1904F7MT5064AAP0P1WM1QQ,Osteoartritis,5
36297,01J1904F7MT5064AAP0P1WM1QQ,Invitarlos a nuestra zona comercial,6
36298,01J19ACD2QYJDQJAWM2T1VYNWE,,1
36342,01J1AP6E6W4TCD55A8EWGCYMGA,,1
36346,01J19ACD2QYJDQJAWM2T1VYNWE,,3
36349,01J1AWQFCJHJD9B97W3K60B6T6,"Gracias por comunicarte a Kidzmed, me encuentro ocupada en consulta, en cuanto me sea posible te responderé. Si quieres cita o te urge algo contacta a mi asistente al 5555644361 o en https://www.doctoralia.com.mx/z/5bKRNU gracias por la comprensión.",1
36350,01J1AWQGBE9FNS457GPCCSGES1,"Gracias por comunicarte con INARIBIO #Dr.Nazario Por favor, haznos saber cómo podemos ayudarte. En breve recibirás una respuesta. ??",1
36351,01J1AWQN8DA02JR88SKEW1V70W,"Gracias por comunicarte con nosotros. Por favor, haznos saber cómo podemos ayudarte.Para agendar cita WA 8136066624, o a los teléfonos 8183485024 y 8183482342 que tiene control de Agenda. Por este medio también puedes recibir Asesoría Pediátrica .",1
36352,01J1AWQV2YPW0E9WT45CH7KJVQ,"HOLA!! 
??T recordamos que para citas o solicitar vacuna el # es *5564430443* de 8-18 hrs. 
??Dudas y preguntas medicas a este número en mismo horario. Si es urgencia llamen e insistan. 
??*No olvides traer tu carilla a consulta.*
??Del 27 de junio -1 jul",1
36353,01J1AWQZZEKHYEGQE3KE00Q3TE,"Gracias por comunicarte con Dr Roberto Serrano, en este momento no puedo responder, deja tu mensaje, en cuanto me sea posible lo Responderé. Si tiene una urgencia médica llama al 4498906537. Para citas 4491453121",1
36354,01J1AWR2WXBA7PB7Y764NR284G,"Gracias por comunicarte con Delgado. Por favor, haznos saber cómo podemos ayudarte.",1
36355,01J1AWR9QKZWKCZWF54PTP41EC,??,1
36356,01J1AWS15K2JNZFA2P9AEHCV00,"Gracias por comunicarte con Dr. Carlos E. Galicia Garcia. Por favor, haznos saber cómo te puedo ayudar.",1
36357,01J1AWS15J48YSVB9GV8C8W68H,Gracias por comunicarte con Dental Franco. Soy la Dra. Patricia ¿Cómo puedo ayudarte? ??????,1
36359,01J1AWQGB7CTBZ3TYZ0B52B412,Muchas gracias ??,1
36364,01J1AWQGC0XK9EXMXSJR61P6PJ,Gracias,1
36369,01J1AWRGJ8F926AHFEE2DYG1P0,Gracias muy amable,1
36370,01J1AXSZ58152CKEWSXE2H6F7K,Ustedes ofertan vacuna para dengue?,1
36375,01J1AWQDE1N9F8YSY2V2YKFGCK,"Igual regaleme links de otros cursos, por favor",1
36378,01J1AWQM9293JN1RSMQCFHNEHQ,Gracias excelente día,1
36379,01J1AWQP6KX9PC5QMJHKV2HC3H,"Gracias , ya me inscribí",1
36380,01J1AWQBFWFFNKPHS3CFCHDGV1,Info,1
36381,01J1AWRSCCYQ20H9TS4EK3C2PS,Gracias,1
36382,01J1AWRSCCYQ20H9TS4EK3C2PS,Ya me registre,2
36383,01J1AWQQ5GGYHMBAP17YJCAXGF,Gracias,1
36387,01J1AWS616JNQJEYF3N575WBGT,SOLO ESO QUIERES,1
36388,01J1AWS616JNQJEYF3N575WBGT,VAS A QUERER ALOE U OTRA COSA MAS,2
36389,01J1AWR2WV3M82DK5ZRMD9NH20,Lonpuedo compartir con mis jefas y jefes,1
36392,01J1AWQ6RK4A4K3N3KMQSWB9WX,"Respuesta automática*
Pediacard® 

HORARIO DE CONSULTA
*LUNES a VIERNES* 
*12-14 Y 18-20Hrs*

*Sábados  A DISPONIBILIDAD*

*NO TRABAJO CON CITAS*
*Sábados y días festivos*
*A DISPONIBILIDAD*
*DOMINGOS NO DOY CONSULTA*

Tiene dudas?
*PON LA FOTO DE LA RECE",1
36393,01J1AWQX0P1JCAX6THJYRX0VZG,,1
36394,01J1AWQEDH8B2BBJHMXFVQEHGD,Oki gracias,1
36397,01J1AWRX8PD8K40XBZWVAY3YNM,es para personal medico o de enfermería?,1
36399,01J1AWRBPF2HVGERX0W46QZWTC,Gracias!,1
36400,01J1AWRW9PYXBR8J8WQS8PGQ7Y,"Hola buenas tardes,  no me deja registrar,  en el último paso me pone error. 
Gracias",1
36404,01J1AWQ86CVDG1HG28T64VATCY,Gracias,1
36406,01J1B31BG3EMX9BZHCE24ZHVX7,Me podrá enviar  liga para inscribir en asistencia en linea,1
36410,01J1B31BG3EMX9BZHCE24ZHVX7,Me podrán compartir link para registrarme en 8vo simposio x favor.,2
36411,01J1B31BG3EMX9BZHCE24ZHVX7,No me llego la invitacion,3
36412,01J1AWQ9QMQ82ZEQTSEPH5R6JE,Hola,1
36413,01J1AWQ9QMQ82ZEQTSEPH5R6JE,Ayuda,2
36414,01J1AWQ9QMQ82ZEQTSEPH5R6JE,Campus sanofi,3
36415,01J1AWQ9QMQ82ZEQTSEPH5R6JE,Menu,4
36416,01J1B54VBDGH6H96YZTANSEW0J,Me interesa,1
36428,01J1AWRAQT3YXX6QXCSTMCEA5W,Buenas noches gracias,1
36429,01J1AWQBFXX9QQ6JKTXXZXKNFV,,1
36430,01J19ACD2QYJDQJAWM2T1VYNWE,,2
36443,01J1CN7RMXDA09Q68BM7TZAAR8,,1
36452,01J1AWQ5GJ1BMXKS1Q42H69QE6,https://temu.com/s/kxINhvl6t71dWw,1
36453,01J1AWQ5GJ1BMXKS1Q42H69QE6,https://temu.com/s/gX6XpAkI9MOVs3x,2
36457,01J1AWRDNT8N12CRQBK3945HA1,Okey buenas tardes claro que sí estaré,1
36458,01J1AWRFKWXJ7TX9YNN66W1BC6,hola,1
36459,01J1AWRFKWXJ7TX9YNN66W1BC6,Ayuda,2
